	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
824	Auerodendron pauciflorum		PR	rhamnaceae	1994.0	Flowering Plants	Endangered	P
825	Aulacoplax leptosoma	Pandanus skink		scincidae		Reptiles	Not Listed	V
826	Aureolaria patula		AL, GA, KY, TN	scrophulariaceae		Flowering Plants	Not Listed	P
827	Austrotinodes sp.	Texas austrotinodes caddisfly	TX	ecnomidae		Insects	Not Listed	I
828	Automeris louisiana	Louisiana Eye silkmoth	LA, MS	saturniidae		Insects	Not Listed	I
829	Automeris patagoniensis	patagonia eyed silkmoth	AZ	saturniidae		Insects	Not Listed	I
830	Ayenia limitaris	Texas ayenia	TX	sterculiaceae	1994.0	Flowering Plants	Endangered	P
831	Aythya affinis	Lesser scaup		anatidae		Birds	Not Listed	V
832	Baccharis plummerae glabrata	Hoover's coyot bush	CA	asteraceae		Flowering Plants	Not Listed	P
833	Baccharis vanessae	Encinitas baccharis	CA	asteraceae	1996.0	Flowering Plants	Threatened	P
834	Bacopa innominata	Mat-forming water-hyssop	MD, VA	scrophulariaceae		Flowering Plants	Not Listed	P
835	Bacopa rotundifolia	Chickahominy water-hyssop	VA	scrophulariaceae		Flowering Plants	Not Listed	P
836	Bactrurus hubrichti	Kansas well amphipod	KS, MO, OK	crangonyctidae		Crustaceans	Not Listed	I
837	Baeolophus inornatus	Oak Titmouse		paridae		Birds	Not Listed	V
838	Bahia bigelovii		TX	asteraceae		Flowering Plants	Not Listed	P
839	Balaena mysticetus	Bowhead whale		balaenidae	1970.0	Mammals	Endangered	V
840	Balaenoptera borealis	Sei whale		balaenopteridae	1970.0	Mammals	Endangered	V
841	Balaenoptera musculus	Blue whale		balaenopteridae	1970.0	Mammals	Endangered	V
842	Balaenoptera physalus	Finback whale		balaenopteridae	1970.0	Mammals	Endangered	V
843	Balduina atropurpurea	Purpledisk honeycombhead	FL, GA, NC, SC	asteraceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
844	balsamorhiza macrolepis var. macrolepis	Big scale balsamroot		asteraceae		Flowering Plants	Not Listed	P
845	Balsamorhiza rosea		OR, WA	asteraceae		Flowering Plants	Not Listed	P
846	Balsamorhiza sericea		OR	asteraceae		Flowering Plants	Not Listed	P
847	Banara vanderbiltii	Palo de ramon	PR	flacourtiaceae	1987.0	Flowering Plants	Endangered	P
848	Banza nihoa	Nihoa banza conehead katydid	HI	tettigoniidae		Insects	Not Listed	I
849	Baptisia arachnifera	Hairy rattleweed	GA	fabaceae	1978.0	Flowering Plants	Endangered	P
850	Baptisia calycosa calycosa		FL	fabaceae		Flowering Plants	Not Listed	P
851	Baptisia calycosa villosa	Hairy wild indigo	FL	fabaceae		Flowering Plants	Not Listed	P
852	Baptisia megacarpa	 wild indigo	FL	fabaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
853	Baptisia megacarpa	Apalachicola wild indigo	FL, GA	fabaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
854	Baptisia simplicifolia		FL	fabaceae		Flowering Plants	Not Listed	P
855	Bartonia texana	Texas screwstem	LA, TX	gentianaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
856	Bartramia longicauda	Upland Sandpiper		scolopacidae		Birds	Not Listed	V
857	Basiphyllaea corallicola		PR, VI	orchidaceae		Flowering Plants	Not Listed	P
858	bassariscus astutus	Ringtail		procyonidae		Mammals	Not Listed	V
859	Batesimalva violacea	Purple gay-mallow	TX	malvaceae		Flowering Plants	Not Listed	P
860	Batrachoseps aridus	Desert slender salamander	CA	plethodontidae	1973.0	Amphibians	Endangered	V
861	Batrachoseps campi	Inyo Mountains slender salamander	CA	plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
862	Batrachoseps minor	Lesser slender salamander	CA	plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
863	batrachoseps nigriventris	Black-bellied slender salamander		plethodontidae		Amphibians	Not Listed	V
864	Batrachoseps pacificus pacificus	Channel Islands slender salamander	CA	plethodontidae		Amphibians	Not Listed	V
865	Batrachoseps regius	Kings River slender salamander	CA	plethodontidae		Amphibians	Not Listed	V
866	Batrachoseps relictus	Relictual slender salamander	CA	plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
867	Batrachoseps robustus	Kern Plateau salamander	CA	plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
868	Batrachoseps simatus	Kern Canyon slender salamander	CA	plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
869	Batrachoseps sp.	Breckenridge Mountain slender salamander	CA	plethodontidae		Amphibians	Not Listed	V
870	Batrachoseps stebbinsi	Techachapi slender salamander	CA	plethodontidae		Amphibians	Not Listed	V
871	Batrachoseps wrighti	Oregon slender salamander		plethodontidae		Amphibians	Under Review in the Candidate or Petition Process	V
872	Batrisodes texanus	Coffin Cave mold beetle	TX	pselaphidaeae	1988.0	Insects	Endangered	I
873	Batrisodes venyivi	Helotes mold beetle	TX	pselaphidae	2000.0	Insects	Endangered	I
874	Bazzania nudicaulis		NC	lepidoziaceae		Flowering Plants	Not Listed	P
875	Belocephalus micanopy	Big Pine Key conehead katydid	FL	tettigoniidae		Insects	Not Listed	I
876	Belocephalus sleighti	Keys shortwinged conehead katydid	FL	tettigoniidae		Insects	Not Listed	I
877	Beloneuria georgiana	Georgia beloneurian stonefly	GA, NC	perlidae		Insects	Not Listed	I
878	Beloneuria jamesae	Cheaha beloneurian stonefly	AL	perlidae		Insects	Not Listed	I
879	Belostoma saratogae	Saratoga Springs belostoman bug	CA	belostomatidae		Insects	Not Listed	I
880	bembidion gordoni	(Bembidion gordoni) ground beetle		carabidae		Insects	Not Listed	I
881	bembidion stillaguamish	(Bembidion stillaguamish) ground beetle		carabidae		Insects	Not Listed	I
882	bembidion viator	(Bembidion viator) ground beetle		carabidae		Insects	Not Listed	I
883	Benitoa occidentalis	Western benitoa	CA	asteraceae		Flowering Plants	Not Listed	P
884	Bensoniella oregona	Bensoniella	CA, OR	saxifragaceae		Flowering Plants	Not Listed	P
885	Berberis harrisoniana	Kofa barberry	AZ	berberidaceae		Flowering Plants	Not Listed	P
886	Berberis higginsiae	Higgin's barberry	CA	berberidaceae		Flowering Plants	Not Listed	P
887	Berberis (=Mahonia) sonnei	Truckee Barberry	CA	berberidaceae	1979.0	Flowering Plants		P
888	Berberis nervosa mendocinensis	Hardy Creek barberry	CA	berberidaceae		Flowering Plants	Not Listed	P
889	Berberis nevinii	Nevin's barberry	CA	berberidaceae	1998.0	Flowering Plants	Endangered	P
890	Berberis pinnata ssp. insularis	Island Barberry	CA	berberidaceae	1997.0	Flowering Plants	Endangered	P
891	Berberis swaseyi	 barberry	TX	berberidaceae		Flowering Plants	Not Listed	P
892	Besseya bullii		IA, IL, IN, MI, MN, OH, WI	scrophulariaceae		Flowering Plants	Not Listed	P
893	Betula murrayana	 birch	MI	betulaceae		Flowering Plants	Not Listed	P
894	Betula uber	Virginia round-leaf birch	VA	betulaceae	1978.0	Flowering Plants	Threatened	P
895	Bidens amplectens	Ko`oko`olau	HI	asteraceae	2012.0	Flowering Plants	Endangered	P
896	Bidens bidentoides bidentoides	 bur-marigold	DE, NJ, NY, PA	asteraceae		Flowering Plants	Not Listed	P
897	Bidens bidentoides mariana	Maryland bur-marigold	MD	asteraceae		Flowering Plants	Not Listed	P
898	Bidens campylotheca campylotheca	Campylotheca bidens	HI	asteraceae		Flowering Plants	Not Listed	P
899	Bidens campylotheca ssp. campylotheca	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
900	Bidens campylotheca ssp. pentamera	Ko`oko`olau	HI	asteraceae	2013.0	Flowering Plants	Endangered	P
901	Bidens campylotheca ssp. waihoiensis	Ko`oko`olau	HI	asteraceae	2013.0	Flowering Plants	Endangered	P
902	Bidens cervicata	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
903	Bidens coarctata	Manoa bidens	HI	asteraceae		Flowering Plants	Not Listed	P
904	Bidens conjuncta	Ko`oko`olau	HI	asteraceae	2013.0	Flowering Plants	Endangered	P
905	Bidens cuneata	Cuneate bidens	HI	asteraceae	1984.0	Flowering Plants		P
906	Bidens degeneri	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
907	Bidens forbesii	Forbes bidens	HI	asteraceae		Flowering Plants	Not Listed	P
908	Bidens graciloides	Maunalua bidens	HI	asteraceae		Flowering Plants	Not Listed	P
909	Bidens hawaiensis	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
910	Bidens hillebrandiana ssp. hillebrandiana	kookoolau	HI	asteraceae	2013.0	Flowering Plants	Endangered	P
911	Bidens macrocarpa ovatifolia	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
912	Bidens mauiensis	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
913	Bidens menziesii leptodonta	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
914	Bidens micrantha caduca	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
915	Bidens micrantha kaalana	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
916	Bidens micrantha laciniata	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
917	Bidens micrantha ssp. ctenophylla	Ko`oko`olau	HI	asteraceae	2013.0	Flowering Plants	Endangered	P
918	Bidens micrantha ssp. kalealaha	Ko`oko`olau	HI	asteraceae	1992.0	Flowering Plants	Endangered	P
919	Bidens molokaiensis	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
920	Bidens obtusiloba	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
921	Bidens populifolia	Poplar-leaved bidens	HI	asteraceae		Flowering Plants	Not Listed	P
922	Bidens pulchella	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
923	Bidens salicoides	Willow-leaved bidens	HI	asteraceae		Flowering Plants	Not Listed	P
924	Bidens sandvicensis confusa	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
925	Bidens sandvicensis ssp. sandvicensis	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
926	Bidens sandwicensis setosa	Ko`oko`olau	HI	asteraceae		Flowering Plants	Not Listed	P
927	Bidens valida	Robust bidens	HI	asteraceae		Flowering Plants	Not Listed	P
928	Bidens wiebkei	Ko`oko`olau	HI	asteraceae	1992.0	Flowering Plants	Endangered	P
929	Binneya notabilis	Santa Barbara shelled slug	CA	arionidae		Snails	Not Listed	I
930	Bison bison athabascae	Wood Bison	AK	bovidae	1970.0	Mammals	Threatened	V
931	Bison bison bison	Plains bison	CO, IA, MT, OK, SD, UT, WY	bovidae		Mammals	Not Listed	V
932	Blackburnia insignis	Oahu blackburnia ground beetle	HI	carabidae		Insects	Not Listed	I
933	Blancosoma scaturgo			tingupidae		Millipedes	Not Listed	I
934	Blarina brevicauda aloga	Martha's Vineyard short-tailed shrew	MA	soricidae		Mammals	Not Listed	V
935	Blarina brevicauda compacta	Nantucket short-tailed shrew	MA	soricidae		Mammals	Not Listed	V
936	Blarina brevicauda shermani	Blarina carolinensis ssp. shermani	FL	soricidae		Mammals	Under Review in the Candidate or Petition Process	V
937	Blarina brevicauda telmalestes	Dismal Swamp short-tailed shrew	NC, VA	soricidae		Mammals	Not Listed	V
938	Blarina hylophaga plumbea	Aransas short-tailed shrew	TX	soricidae		Mammals	Not Listed	V
939	Blennosperma bakeri	Sonoma sunshine	CA	asteraceae	1991.0	Flowering Plants	Endangered	P
940	Blennosperma nanum robustum	Point Reyes stickyseed	CA	asteraceae		Flowering Plants	Not Listed	P
941	Bloomeria humilis	Dwarf goldenstar	CA	liliaceae		Flowering Plants	Not Listed	P
942	Bobea sandwicensis	`Ahakea	HI	rubiaceae		Flowering Plants	Not Listed	P
943	Bobea timonioides	`Ahakea	HI	rubiaceae		Flowering Plants	Not Listed	P
944	Boechera pinzliae	Boundary Peak rock-cress	CA, NV	brassicaceae		Flowering Plants	Not Listed	P
945	Boechera pusilla	Fremont County rockcress	WY	brassicaceae		Flowering Plants	Not Listed	P
946	Boerhavia mathisiana	Mathis spiderling	TX	nyctaginaceae		Flowering Plants	Not Listed	P
947	Boloria acrocnema	Uncompahgre fritillary butterfly	CO	nymphalidae	1991.0	Insects	Endangered	I
948	Boltonia apalachicolensis	Apalachicola doll's daisy	FL	asteraceae		Flowering Plants	Not Listed	P
949	Boltonia decurrens	Decurrent false aster	IL, MO	asteraceae	1988.0	Flowering Plants	Threatened	P
950	Boltonia montana	Doll's daisy	DE, NJ, PA, VA	asteraceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
951	Bombus affinis	Rusty patched bumble bee	IA, IL, IN, MA, ME, MN, OH, VA, WI, WV	apidae	2017.0	Insects	Endangered	I
952	Bombus franklini	Franklin's bumblebee	CA, OR	apidae		Insects	Proposed Endangered	I
953	Bombus occidentalis	Western Bumble bee	AK, AZ, CA, CO, ID, MN, MT, ND, NE, NM, NV, OR, SD, WA, WY	apidae		Insects	Under Review in the Candidate or Petition Process	I
954	Bombus terricola	Yellow banded Bumble bee	CT, IL, KY, MA, MD, ME, MI, MN, MT, NC, ND, NH, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV	apidae		Insects	Not Listed	I
955	Bonamia grandiflora	Florida bonamia	FL	convolvulaceae	1987.0	Flowering Plants	Threatened	P
956	Bonamia menziesii		HI	convolvulaceae	1994.0	Flowering Plants	Endangered	P
957	Bonamia ovalifolia	Bigpod bonamia	TX	convolvulaceae		Flowering Plants	Not Listed	P
958	Botaurus lentiginosus	American bittern		ardeidae		Birds	Not Listed	V
959	Bothriochloa exaristata		LA, TX	poaceae		Flowering Plants	Not Listed	P
960	Botrychium ascendens	Trianglelobe moonwort	ID, OR	ophioglossaceae	1994.0	Ferns and Allies	Not Listed	P
961	Botrychium crenulatum		AZ, CA, MT, OR, UT	ophioglossaceae		Ferns and Allies	Not Listed	P
962	Botrychium gallicomontanum	Prairie moonwort	MI	ophioglossaceae	1993.0	Ferns and Allies	Not Listed	P
963	Botrychium lineare	Slender Moonwort	CO, WA	ophioglossaceae		Ferns and Allies	Not Listed	P
964	Botrychium mormo		MI, MN, WI	ophioglossaceae		Ferns and Allies	Not Listed	P
965	Botrychium pallidum		UT	ophioglossaceae		Ferns and Allies	Not Listed	P
966	Botrychium paradoxum		MT, UT	ophioglossaceae		Ferns and Allies	Not Listed	P
967	Botrychium pedunculosum	Stalked moonwort	OR	ophioglossaceae		Ferns and Allies	Not Listed	P
968	Botrychium pumicola nealleyi	Crater Lake grap fern	CA, OR	ophioglossaceae		Ferns and Allies	Not Listed	P
969	Botrychium subbifoliatum	Makou	HI	ophioglossaceae		Ferns and Allies	Not Listed	P
970	Bouchardina robisoni	Bayou Bodcau crayfish	AR	cambaridae		Crustaceans	Not Listed	I
971	Brachionidium ciliolatum	Makou	PR, VI	orchidaceae		Flowering Plants	Not Listed	P
972	Brachycercus flavus	Yellow brachycercus mayfly	LA	caenidae		Insects	Not Listed	I
973	Brachycercus tuberculatus			caenidae		Insects	Not Listed	I
974	Brachylagus idahoensis	Columbia Basin Pygmy Rabbit		leporidae		Mammals	Not Listed	V
975	Brachylagus idahoensis	Columbia Basin Pygmy Rabbit	WA	leporidae	2001.0	Mammals	Endangered	V
976	Brachymenium andersonii	Anderson's brachymenium	NC	bryaceae		Flowering Plants	Not Listed	P
977	Brachyramphus brevirostris	Kittlitz's murrelet	AK	alcidae		Birds	Not Listed	V
978	Brachyramphus marmoratus	Marbled murrelet		alcidae		Birds	Not Listed	V
979	Brachyramphus marmoratus	Marbled murrelet	CA, OR, WA	alcidae	1992.0	Birds	Threatened	V
980	bradycellus fenderi	(Bradycellus fenderi) ground beetle		carabidae		Insects	Not Listed	I
981	Branchinecta conservatio	Conservancy fairy shrimp	CA	branchinectidae	1994.0	Crustaceans	Endangered	I
982	Branchinecta longiantenna	Longhorn fairy shrimp	CA	branchinectidae	1994.0	Crustaceans	Endangered	I
983	Branchinecta lynchi	Vernal pool fairy shrimp	CA, OR	branchinectidae	1994.0	Crustaceans	Threatened	I
984	Branchinecta mesovallensis	Midvalley Fairy Shrimp		branchinectidae		Crustaceans	Not Listed	I
985	Branchinecta sandiegonensis	San Diego fairy shrimp	CA	branchinectidae	1997.0	Crustaceans	Endangered	I
986	Branchinella lithaca	Stone Mountain fairy shrimp	GA	thamnocephalidae		Crustaceans	Not Listed	I
987	Branta canadensis leucopareia	Aleutian Canada goose	AK, CA, OR, WA	anatidae	1967.0	Birds	Recovery	V
988	Branta (=Nesochen) sandvicensis	Hawaiian goose	HI	anatidae	1967.0	Birds	Endangered	V
989	Brassia caudata		FL	orchidaceae		Flowering Plants	Not Listed	P
990	Braya humilis leiocarpa		MI, VT	brassicaceae		Flowering Plants	Not Listed	P
991	Braya humilis ventosa	Alpine braya	CO	brassicaceae		Flowering Plants	Not Listed	P
992	Brazoria pulcherrima	Centerville brazos-mint	TX	lamiaceae		Flowering Plants	Not Listed	P
993	Brennania belkini	Belkin's dune tabanid fly	CA	tabanidae		Insects	Not Listed	I
994	Brickellia brachyphylla montanus	Hinckley's bricklebush	ID	asteraceae		Flowering Plants	Not Listed	P
995	Brickellia brachyphylla terlinguensis	Terlingua bricklebush	TX	asteraceae		Flowering Plants	Not Listed	P
996	Brickellia cordifolia	Flyr's brickell-bush	FL	asteraceae		Flowering Plants	Not Listed	P
997	Brickellia dentata		TX	asteraceae		Flowering Plants	Not Listed	P
998	Brickellia knappiana	Knapp's brickellia	CA, NV	asteraceae		Flowering Plants	Not Listed	P
999	Brickellia leptophylla		TX	asteraceae		Flowering Plants	Not Listed	P
1000	Brickellia mosieri	Florida brickell-bush	FL	asteraceae	2014.0	Flowering Plants	Endangered	P
1001	Brickellia viejensis	Sierra Vieja brickellia	TX	asteraceae		Flowering Plants	Not Listed	P
1002	Brighamia insignis	Olulu	HI	campanulaceae	1994.0	Flowering Plants	Endangered	P
1003	Brighamia rockii	Pua `ala	HI	campanulaceae	1992.0	Flowering Plants	Endangered	P
1004	Brodiaea coronaria rosea	Indian Valley brodiaea	CA	liliaceae		Flowering Plants	Not Listed	P
1005	Brodiaea filifolia	Thread-leaved brodiaea	CA	liliaceae	1998.0	Flowering Plants	Threatened	P
1006	Brodiaea insignis	Kaweah brodiaea	CA	liliaceae		Flowering Plants	Not Listed	P
1007	Brodiaea kinkiensis	San Clemente Island brodiaea	CA	liliaceae		Flowering Plants	Not Listed	P
1008	Brodiaea orcuttii	Orcutt's brodiaea	CA	liliaceae		Flowering Plants	Not Listed	P
1009	Brodiaea pallida	Chinese Camp brodiaea	CA	liliaceae	1998.0	Flowering Plants	Threatened	P
1010	Bromus arizonicus	Arizona brome		poaceae		Flowering Plants	Not Listed	P
1011	Bromus texensis		TX	poaceae		Flowering Plants	Not Listed	P
1012	Brongniartia minutifolia	Little-leaf brongniartia	TX	fabaceae		Flowering Plants	Not Listed	P
1013	Browallia sp.	Sp. nov. ined. browallia	AZ	solanaceae		Flowering Plants	Not Listed	P
1014	Brunfelsia portoricensis		PR, VI	solanaceae		Flowering Plants	Not Listed	P
1015	Bryania bipunctata	Nihoa two-spotted asteriid fly	HI	asteriidae		Insects	Not Listed	I
1016	Brychius hungerfordi	Hungerford's crawling water Beetle	MI	halipilidae	1994.0	Insects	Endangered	I
1017	Bryocrumia vivicolor	Gorge moss	NC	hypnaceae		Flowering Plants	Not Listed	P
1018	Buckleya distichophylla	Piratebush	NC, VA	santalaceae		Flowering Plants	Not Listed	P
1019	Buellia sharpiana	Evelyn''s buttons	NC	caliciaceae		Lichens	Not Listed	P
1020	bufo alvarius	Colorado River toad		bufonidae		Amphibians	Not Listed	V
1021	Bufo boreas	Western toad		bufonidae		Amphibians	Not Listed	V
1022	Bufo exsul	Black toad	CA	bufonidae	1967.0	Amphibians	Not Listed	V
1023	Bufo hemiophrys baxteri	Wyoming Toad	WY	bufonidae	1984.0	Amphibians	Endangered	V
1024	Bufo houstonensis	Houston toad	TX	bufonidae	1970.0	Amphibians	Endangered	V
1025	Bufo microscaphus microscaphus	Arizona toad	AZ, CA, NM, NV, OR, UT	bufonidae		Amphibians	Under Review in the Candidate or Petition Process	V
1026	Bufo nelsoni	Amargosa toad	NV	bufonidae		Amphibians	Not Listed	V
1027	Bufo retiformis	Sonoran green toad	AZ	bufonidae		Amphibians	Not Listed	V
1028	Bulbophyllum guamense	Cebello halumtano	GU, MP	orchidaceae	2015.0	Flowering Plants	Threatened	P
1029	Buteo brachyurus	short-tailed hawk		accipitridae		Birds	Not Listed	V
1030	Buteo brachyurus	short-tailed hawk	FL	accipitridae		Birds	Not Listed	V
1031	buteo lagopus	Rough-legged hawk		accipitridae		Birds	Not Listed	V
1032	buteo lineatus	Red-shouldered hawk		accipitridae		Birds	Not Listed	V
1033	Buteo nitidus maximus	Northern gray hawk	AZ, NM, TX	accipitridae		Birds	Not Listed	V
1034	Buteo platypterus brunnescens	Puerto Rican broad-winged hawk	PR	accipitridae	1994.0	Birds	Endangered	V
1035	Buteo regalis	Ferruginous hawk	CO	accipitridae		Birds	Not Listed	V
1036	Buteo solitarius	Hawaiian (='lo) Hawk	HI	accipitridae	1967.0	Birds	Endangered	V
1037	Buteo swainsoni	Swainson's hawk	CO	accipitridae		Birds	Not Listed	V
1038	Buxus vahlii	Vahl's boxwood	PR, VI	buxaceae	1985.0	Flowering Plants	Endangered	P
1039	Byrsonima lucida	Maricao cimarron	FL, PR, VI	malpighiaceae		Flowering Plants	Not Listed	P
1040	Byrsonima spicata	Maricao cimarron	PR, VI	malpighiaceae		Flowering Plants	Not Listed	P
1041	Caconemobius howarthi	Howarth's cave cricket	HI	gryllidae		Insects	Not Listed	I
1042	Caconemobius schauinslandi	Schauinsland's bush cricket	HI	gryllidae		Insects	Not Listed	I
1043	Caconemobius varius	Kaumana Cave cricket	HI	gryllidae		Insects	Not Listed	I
1044	Caecidotea barri	Clifton Cave isopod	KY	asellidae		Crustaceans	Not Listed	I
1045	Caecidotea cannula		WV	asellidae		Crustaceans	Under Review in the Candidate or Petition Process	I
1046	Caecidotea cannulus	 isopod	MD, WV	asellidae		Crustaceans	Not Listed	I
1047	Caecidotea carolinensis	Bennets Mill Cave water slater	NC	asellidae		Crustaceans	Not Listed	I
1048	Caecidotea filicispeluncae	 isopod	OH	asellidae		Crustaceans	Not Listed	I
1049	Caecidotea franzi	Franz's isopod	MD, PA	asellidae		Crustaceans	Not Listed	I
1050	Caecidotea macropropoda	Bat Cave isopod	OK	asellidae		Crustaceans	Not Listed	I
1051	Caecidotea metcalfi			asellidae		Crustaceans	Not Listed	I
1052	Caecidotea nickajackensis	Nickajack Cave isopod	TN	asellidae		Crustaceans	Not Listed	I
1053	caecidotea reddelli	(Caecidotea reddelli) isopod		asellidae		Crustaceans	Not Listed	I
1054	Caecidotea simonini	 isopod	WV	asellidae		Crustaceans	Not Listed	I
1055	Caecidotea sinuncus	 isopod	WV	asellidae		Crustaceans	Not Listed	I
1056	Caecidotea tomalensis	 isopod	CA	asellidae		Crustaceans	Not Listed	I
1057	Caecidotea tridentata			asellidae		Crustaceans	Not Listed	I
1058	Caesalpinia brachycarpa	Broad-pod rushpea	TX	fabaceae		Flowering Plants	Not Listed	P
1059	Caesalpinia culebrae	Amarillo mato	PR, VI	fabaceae		Flowering Plants	Not Listed	P
1060	Caesalpinia drummondii		TX	fabaceae		Flowering Plants	Not Listed	P
1061	Caesalpinia monensis	Negro mato	PR, VI	fabaceae		Flowering Plants	Not Listed	P
1062	Caesalpinia portoricensis	Braun mato	PR, VI	fabaceae		Flowering Plants	Not Listed	P
1063	Calamagrostis cainii	Cain's reedgrass	NC	poaceae		Flowering Plants	Not Listed	P
1064	Calamagrostis crassiglumis	Thurber's reedgrass	AK, CA, WA	poaceae		Flowering Plants	Not Listed	P
1065	Calamagrostis expansa	Maui reedgrass	HI	poaceae	2016.0	Flowering Plants	Endangered	P
1066	Calamagrostis foliosa	Leafy reedgrass	CA	poaceae		Flowering Plants	Not Listed	P
1067	Calamagrostis hillebrandii	Hillegrand's reedgrass	HI	poaceae	2013.0	Flowering Plants	Endangered	P
1068	Calamagrostis inexpansa novae-angliae	Northern (=New England) reedgrass	ME, NH, VT	poaceae		Flowering Plants	Not Listed	P
1069	Calamagrostis koelerioides	Dense reedgrass	CA	poaceae		Flowering Plants	Not Listed	P
1070	Calamagrostis nubila	 reedgrass	NH	poaceae		Flowering Plants	Not Listed	P
1071	Calamagrostis perplexa	Wood reedgrass	NY	poaceae		Flowering Plants	Not Listed	P
1072	Calamagrostis porteri	Porter's reedgrass	KY, MD, NC, NY, PA, TN, VA, WV	poaceae		Flowering Plants	Not Listed	P
1073	Calamagrostis porteri insperata	Ofer Hollow reedgrass	AR, IL, KY, MO, OH	poaceae		Flowering Plants	Not Listed	P
1074	Calamagrostis tweedyi	 reedgrass	ID, MT, WA	poaceae		Flowering Plants	Not Listed	P
1075	Calamovilfa arcuata	Cumberland sandreed	AR, OK, TN	poaceae		Flowering Plants	Not Listed	P
1076	Calamovilfa brevipilis	 sand grass	DE, NC, NJ, SC, VA	poaceae		Flowering Plants	Not Listed	P
1077	Calamovilfa brevipilis calvipes	 sand grass	VA	poaceae		Flowering Plants	Not Listed	P
1078	Calamovilfa curtissii	 sand grass	FL	poaceae		Flowering Plants	Not Listed	P
1079	Calcarius mccownii	McCown's Longspur		emberizidae		Birds	Not Listed	V
1080	Calcina minor	Edgewood blind harvestman	CA	phalangodidae		Arachnids	Not Listed	I
1081	Calidris canutus rufa	Red knot	AL, AR, CT, DE, FL, GA, IL, IN, KS, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TX, VA, WI, WV	scolopacidae	2015.0	Birds	Threatened	V
1082	Calidris canutus ssp. roselaari	red knot		scolopacidae		Birds	Not Listed	V
1083	Calidris subruficollis	Buff-breasted Sandpiper		scolopacidae		Birds	Not Listed	V
1084	Calliandra biflora	Two-flowered stick-pea	TX	fabaceae		Flowering Plants	Not Listed	P
1085	Calliandra locoensis		PR, VI	mimosaceae		Flowering Plants	Not Listed	P
1086	Calliasmata pholidota	Anchialine pool Shrimp	HI	alpheidae		Crustaceans	Not Listed	I
1087	Callicarpa ampla	Capa rosa	PR	verbenaceae	1992.0	Flowering Plants	Endangered	P
1088	Calliptropsis nootkatensis	Yellow cedar	AK, CA, OR, WA	cupressaceae		Conifers and Cycads	Not Listed	P
1089	Callirhoe bushii	 poppy-mallow	AR, IA, KS, MO, OK	malvaceae		Flowering Plants	Not Listed	P
1090	Callirhoe scabriuscula	Texas poppy-mallow	TX	malvaceae	1981.0	Flowering Plants	Endangered	P
1091	Callitriche marginata	winged water-starwort		plantaginaceae		Flowering Plants	Not Listed	P
1092	Callitropsis nevadensis	Paiute cypress	CA	cupressaceae		Conifers and Cycads	Not Listed	P
1093	Callitropsis stephensonii	Cuyamaca cypress	CA	cupressaceae		Conifers and Cycads	Not Listed	P
1094	Callophrys irus irus, C. i. hadros, C. i. arsace	Frosted Elfin	AL, AR, CT, DE, FL, GA, IN, KY, LA, MA, MD, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV	lycaenidae		Insects	Not Listed	I
1095	Callophrys mossii bayensis	San Bruno elfin butterfly	CA	lycaenidae	1976.0	Insects	Endangered	I
1096	calochortus catalinae	Catalina mariposa lily		liliaceae		Flowering Plants	Not Listed	P
1097	Calochortus clavatus avius	Pleasant Valley mariposa lily	CA	liliaceae		Flowering Plants	Not Listed	P
1098	Calochortus clavatus gracilis	Slender mariposa lily	CA	liliaceae		Flowering Plants	Not Listed	P
