	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
59	Actinemys marmorata	Western pond Turtle		emydidae		Reptiles	Under Review in the Candidate or Petition Process	V
60	Actinemys marmorata marmorata	Northwestern pond turtle	WA	emydidae		Reptiles	Not Listed	V
61	Actinemys marmorata pallida	Southwestern pond turtle	CA	emydidae		Reptiles	Not Listed	V
62	Actinostachys pennula	Curly-grass fern	FL	schizaeaceae		Ferns and Allies	Not Listed	P
63	Adella oplerella	Opler's longhorn moth	CA	incurvariidae		Insects	Not Listed	I
64	Adelocosa anops	Kauai cave wolf or pe'e pe'e maka 'ole spider	HI	lycosidae	2000.0	Arachnids	Endangered	I
65	Adenophorus periens	Pendant kihi fern	HI	polypodiaceae	1994.0	Ferns and Allies	Endangered	P
66	Adhemarius blanchardorum	Blanchards' sphinx moth	TX	sphingidae		Insects	Not Listed	I
67	Adiantum vivesii		PR	adiantaceae	1993.0	Ferns and Allies	Endangered	P
68	Adolphia californica	California adolphia		rhamnaceae		Flowering Plants	Not Listed	P
69	aechmophorus occidentalis	Western grebe		podocopedidae		Birds	Not Listed	V
70	Aegialia concinna	Ciervo aegialian scarab	CA	scarabaeidae		Insects	Not Listed	I
71	Aegialia crescenta	Crescent Dune aegialian scarab	NV	scarabaeidae		Insects	Not Listed	I
72	Aegialia hardyi	Hardy's aegialian scarab	NV	scarabaeidae		Insects	Not Listed	I
73	Aegialia magnifica	Large aegialian scarab	NV	scarabaeidae		Insects	Not Listed	I
74	Aerodramus vanikorensis bartschi	Mariana gray swiftlet	GU, MP	apodidae	1984.0	Birds	Endangered	V
75	Aerva sericea		HI	amaranthaceae		Flowering Plants	Not Listed	P
76	Aeschynomene pratensis	Meadow joint-vetch	FL	fabaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
77	Aeschynomene virginica	Sensitive joint-vetch	DE, MD, NC, NJ, VA	fabaceae	1992.0	Flowering Plants	Threatened	P
78	afilia species	notodontid moth		notodontidae		Insects	Not Listed	I
79	Aflexia rubranura	Redveined prairie leafhopper	IL, WI	cicadellidae		Insects	Not Listed	I
80	Agabus rumppi	Death Valley agabus diving beetle	CA, NV	dytiscidae		Insects	Not Listed	I
81	Agalinis acuta	Sandplain gerardia	CT, MA, MD, NY, RI	scrophulariaceae	1988.0	Flowering Plants	Endangered	P
82	Agalinis auriculata	Auriculate false-foxglove	AR, IL, IN, KS, MD, MI, MN, MO, MS, OH, OK, PA, SC, TN, TX, VA, WI, WV	scrophulariaceae		Flowering Plants	Not Listed	P
83	Agalinis navasotensis	Navasota False Foxglove		orobanchaceae		Flowering Plants	Under Review in the Candidate or Petition Process	P
84	Agalinis purpurea carteri		FL	scrophulariaceae		Flowering Plants	Not Listed	P
85	Agalinis setacea	 false foxglove	FL	scrophulariaceae		Flowering Plants	Not Listed	P
86	agapema galbina	Tamaulipan Agapema	TX	saturniidae		Insects	Not Listed	I
87	Agapetus artesus	Artesian agapetus caddisfly	MO	glossosomatidae		Insects	Not Listed	I
88	Agapetus denningi	Denning's agapetus caddisfly	OR	glossosomatidae		Insects	Not Listed	I
89	Agapetus jocassee	 caddisfly	NC, SC	glossosomatidae		Insects	Not Listed	I
90	Agapetus medicus	Arkansas agapetus caddisfly	AR	glossosomatidae		Insects	Not Listed	I
91	Agarodes alabamensis	 caddisfly	AL	sericostomatidae		Insects	Not Listed	I
92	Agarodes logani	Logan's Agarodes caddisfly	FL	sericostomatidae		Insects	Under Review in the Candidate or Petition Process	I
93	Agarodes stannardi	Stannard's agarodes caddisfly	MS, TN	sericostomatidae		Insects	Not Listed	I
94	Agarodes ziczac	Zigzag blackwater caddisfly	FL	sericostomatidae		Insects	Not Listed	I
